,WS_1,WS_50,WS_100,WS_150,WS_200,WD_1,WD_50,WD_100,WD_150,WD_200,temp_air_1,ghi,dni,dhi,Price
1/1/2012 0:00,0.3372,1.2309,1.5346,1.8756,1.9307,23.8945,22.3364,20.7422,164.472,167.3589,279.8569,0,0,0,49.046
1/1/2012 1:00,0.4316,1.4393,1.7627,2.0102,2.0635,47.8602,46.3249,44.7561,34.1765,34.6391,279.7648,0,0,0,49.046
1/1/2012 2:00,0.4883,1.6573,2.0362,2.1857,2.1988,48.3758,52.0758,55.849,50.0992,49.4978,279.4413,0,0,0,49.046
1/1/2012 3:00,0.488,1.7769,2.2106,2.3384,2.3128,33.423,44.636,56.0809,56.5599,55.7136,278.2842,0,0,0,49.046
1/1/2012 4:00,0.5661,1.8586,2.2701,2.4169,2.3424,16.7169,32.531,48.672,54.957,54.0591,277.5218,0,0,0,49.046
1/1/2012 5:00,0.6128,1.9418,2.3565,2.4731,2.336,12.2468,28.0849,44.2416,54.5187,53.1733,276.7224,0,0,0,49.046
1/1/2012 6:00,0.6257,2.0382,2.4873,2.6089,2.4168,19.9339,34.5707,49.51,60.4385,58.8285,276.6432,0,0,0,49.046
1/1/2012 7:00,0.6982,2.0832,2.5033,2.6839,2.4467,28.0611,44.1884,60.6484,71.2512,69.7853,276.1462,1.5367,0.5764,1.5092,44.736
1/1/2012 8:00,0.5355,1.8433,2.2711,2.4856,2.1998,31.6117,51.6488,72.0973,85.5718,84.8576,276.7427,50.1641,188.4571,23.7648,43.746
1/1/2012 9:00,0.3676,1.4191,1.7843,2.0582,1.7298,30.4258,54.7218,79.5126,100.6863,102.4823,279.4445,175.9183,490.2536,64.0808,39.217
1/1/2012 10:00,0.1723,0.9123,1.2154,1.7191,1.335,35.1444,50.953,67.0851,104.7906,107.9212,283.7754,321.7443,660.8068,94.4126,39.217
1/1/2012 11:00,0.1437,0.3203,0.3647,0.8149,0.558,87.4067,86.8057,86.195,121.6293,143.4185,285.6919,430.9144,737.6301,111.9311,18.77
1/1/2012 12:00,0.184,0.4304,0.4949,0.4644,0.6819,214.7864,216.6881,218.6332,189.1383,224.9071,287.2034,486.9041,764.2728,120.8956,14.964
1/1/2012 13:00,0.466,1.0801,1.2423,1.3493,1.4744,224.4095,226.1539,227.932,227.9129,231.997,288.2881,484.6721,761.7244,120.8716,18.77
1/1/2012 14:00,0.6708,1.594,1.8406,2.0672,2.1157,229.0379,230.3101,231.6039,232.904,234.5309,289.902,422.6707,723.9116,112.1744,22.363
1/1/2012 15:00,0.8044,1.9816,2.3019,2.5717,2.6129,230.4064,231.4047,232.4238,234.0658,235.1653,290.5193,309.8829,639.8014,93.8718,39.217
1/1/2012 16:00,0.7073,2.3708,2.9073,3.2771,3.3281,228.4495,229.8526,231.2827,233.1965,234.6339,290.2308,165.9686,472.4856,61.7561,44.736
1/1/2012 17:00,0.4369,3.1292,4.3886,5.0161,4.9527,225.6764,229.4638,233.326,237.2293,239.9264,287.8197,45.4278,179.948,21.6392,71.456
1/1/2012 18:00,0.5228,3.8519,5.4299,6.312,6.0957,229.5159,234.4432,239.468,246.3874,249.1824,286.3111,0.9004,0,0.9004,71.456
1/1/2012 19:00,0.5323,3.7642,5.2693,6.4735,6.2089,236.1417,242.701,249.3892,259.483,262.2806,284.8239,0,0,0,71.456
1/1/2012 20:00,0.5858,3.5316,4.8046,6.1037,5.8884,246.8983,254.7457,262.7543,275.0567,277.327,283.8544,0,0,0,71.456
1/1/2012 21:00,0.5812,3.4155,4.6272,6.0286,5.9,258.9481,267.8506,276.9359,289.3737,291.0546,282.2305,0,0,0,71.456
1/1/2012 22:00,0.4525,3.6902,5.2969,7.1595,7.0637,267.7338,275.068,282.5559,293.5092,294.303,282.0494,0,0,0,71.456
1/1/2012 23:00,0.5066,3.9042,5.5475,7.5287,7.6364,274.8198,281.0403,287.3908,297.0833,297.8032,282.5127,0,0,0,71.456
1/2/2012 0:00,0.4155,3.5022,5.0577,6.8651,7.1993,274.0521,281.3776,288.8541,296.9535,298.6552,282.8122,0,0,0,39.954
1/2/2012 1:00,0.5951,2.9502,3.8774,5.1302,5.4665,253.4519,265.9027,278.6125,289.0897,292.4365,282.0975,0,0,0,39.954
1/2/2012 2:00,0.6451,3.1467,4.1244,5.3185,5.6615,261.6248,269.6763,277.8906,286.1729,289.6266,282.002,0,0,0,39.954
1/2/2012 3:00,0.6022,2.9056,3.801,4.8613,5.1796,246.3288,255.9641,265.7977,274.4654,278.8621,281.5577,0,0,0,39.954
1/2/2012 4:00,0.6666,2.8332,3.625,4.6678,5.0124,242.8358,250.813,258.9512,266.9441,271.5544,281.0838,0,0,0,39.954
1/2/2012 5:00,0.6522,2.5748,3.2497,4.3053,4.6811,232.31,242.2895,252.4754,260.1212,265.1429,280.8403,0,0,0,42.197
1/2/2012 6:00,0.6459,2.492,3.1343,4.2217,4.6526,239.6401,245.8627,252.2107,258.6667,263.1651,281.7424,0,0,0,42.979
1/2/2012 7:00,0.5898,2.3447,2.9632,4.1311,4.6563,243.0365,250.0285,257.1655,261.7385,265.7545,282.1779,0.7702,0,0.7702,43.275
1/2/2012 8:00,0.3886,2.1518,2.8842,3.9821,4.5485,205.4318,224.8552,244.6734,252.0746,257.7126,282.5984,12.396,0,12.396,43.275
1/2/2012 9:00,0.296,1.927,2.6579,3.7716,4.3706,210.0554,224.7567,239.7548,249.2698,255.7446,283.4891,48.4665,0.52,48.3203,42.197
1/2/2012 10:00,0.2972,1.7118,2.31,3.8157,4.32,215.4631,227.3583,239.4966,249.8152,257.6478,285.5114,121.1085,14.2577,115.5309,40.67
1/2/2012 11:00,0.5153,1.5728,1.8972,3.2629,3.7398,246.8522,250.5085,254.2357,256.996,266.7349,286.61,253.1163,142.0417,187.7319,38.585
1/2/2012 12:00,0.7998,2.1158,2.4885,2.5952,2.9529,276.5271,278.4503,280.4133,276.0856,281.5423,288.3263,379.2968,367.6875,201.7065,34.101
1/2/2012 13:00,0.8669,2.2401,2.6247,3.0361,3.1324,286.2346,287.6248,289.0433,290.6008,291.2648,289.5622,421.6662,529.8457,168.764,34.101
1/2/2012 14:00,0.9935,2.5658,3.0047,3.4397,3.5341,295.6596,296.6047,297.5676,298.7974,299.0335,290.6938,388.9588,591.798,135.6491,34.993
1/2/2012 15:00,1.0802,2.8905,3.4061,3.8947,3.9896,301.827,302.5468,303.2793,304.2802,304.3628,291.41,296.9977,582.0576,101.4765,38.585
1/2/2012 16:00,0.8152,2.9695,3.6958,4.322,4.441,308.3336,309.2652,310.2166,310.9907,311.1062,290.8196,164.0364,458.1657,62.9273,42.197
1/2/2012 17:00,0.7203,3.0355,3.876,4.9136,5.0613,311.5901,314.8881,318.2484,321.4852,322.0723,286.8988,45.8498,177.4439,22.2169,45.816
1/2/2012 18:00,0.6474,3.395,4.5056,5.6353,5.7999,322.6984,326.6636,330.7125,334.9402,335.9689,284.8069,1.0701,0,1.0701,56.619
1/2/2012 19:00,0.6649,3.3918,4.4809,5.7323,5.905,333.5498,338.9211,344.4035,349.6344,350.7244,284.2966,0,0,0,56.619
1/2/2012 20:00,0.644,3.1721,4.1629,5.3459,5.5367,2.611,258.3601,151.9825,157.4939,7.671,284.0578,0,0,0,57.289
1/2/2012 21:00,0.6057,2.8341,3.6872,4.764,4.9692,12.0086,191.4839,7.2762,15.1679,16.1351,282.4022,0,0,0,57.289
1/2/2012 22:00,0.4736,2.6798,3.606,4.4118,4.6112,338.6359,344.6971,350.8823,5.3019,7.2412,280.2219,0,0,0,57.289
